Boat name,Notes,Problem,Thrust,Acceleration,Lift,Drag,Mass(kN),Mass(kg),Speed,Ls-1,Parts,Part efficiency,Fuel efficiency,,,,,,,,
Crick in my Neck 3.16,Removed most solar panels. Removed intakes. Rotated rear engine 180,,780.5,9.293,1129.384,223.838,823.94,83.991,32.5,1.26,71,38.44658451,"20,131.94",,,,,,,,
3.17,Removed front foils. Replced with 2 fixed 0.5 wings with spacing like rest of legs. Put on Adjustable tail fin on lowest tier. Suggestion: Try moving the top two front foil up,,611.4,7.326,1029.708,256.231,818.759,83.463,32.4,0.99,65,41.60309538,"20,009.45",,,,,,,,
3.18,Put adjustable foil on bottom of 2nd legs. Slight dihedral,,611.5,7.326,959.603,250.138,818.793,83.466,32.5,0.99,67,40.48723881,"20,074.49",,,,,,,,
3.19,Replaced 2nd legs with front angled versions,,645.9,7.728,1086.926,278.536,819.854,83.574,32.4,1.05,65,41.65842462,"19,930.63",,,,,,,,
3.2,Reverted to 3.18. Moved back most legs further back. Front fin set to 40. As gets above 40m/s dial back to ~11. Max speed 70m/s,,604.3,7.209,1016.9,255.91,822.299,83.823,32.6,0.98,65,42.04045846,"20,102.22",,,,,,,,
3.21,Duplicated front two legs and moved the forward. Total 10 legs. Removed wheels from new 2nd back legs,,579,6.702,1014.844,281.484,847.589,86.401,32.4,0.94,65,43.06757538,"19,957.02",,,,,,,,
3.22,Total 6 legs. Back two sets form a V.,,588,7.231,967.625,298.732,798.08,81.355,32.4,0.95,51,51.68435294,"20,053.89",,,,,,,,
3.23,Adjustable on back legs in lower hydrofoil location. Notes: pump fuel forward to stop bow skipping. ,Skipping,571.9,7.017,839.859,257.6,799.499,81.499,32.4,0.93,53,49.82203019,"19,924.26",,,,,,,,
3.24,Moved rear legs way inward,Skipping,557,6.823,856.717,252.601,801.791,81.733,32.8,0.9,53,50.58193208,"20,299.56",,,,,,,,
3.25,Added struts to 2nd to back legs to stop skimmy at high speed,Chine,548,6.684,876.101,239.06,804.511,82.01,33.5,0.89,59,46.565,"20,626.97",,,,,,,,
3.26,moved the front leg really far inward. Back legs back out,Chine,549,6.694,866.054,257.123,804.464,82.005,33,0.89,59,45.86720339,"20,356.18",,,,,,,,
3.27,Front legs way out. Cannards on back to coontrol roll,Chine and skipping,542.3,6.593,866.093,254.678,806.877,82.251,32.8,0.88,63,42.82274286,"20,213.00",,,,,,,,
3.28,Steering flaps moved onto two rearmost legs.Dihedral on front,Chine and skipping,529.2,6.462,846.522,251.819,803.4,81.897,32.8,0.86,64,41.9722125,"20,183.44",,,,,,,,
3.29,Removed dihedral. Pu on odd angled cannards on lowest most front and an angle,Chine and skipping,537.8,6.55,862.455,242.358,805.559,82.117,32.6,0.87,64,41.82834688,"20,152.05",,,,,,,,
Crick in my Neck 3.30,Moved fixed foils higher on all legs. Center legs under the center of mass results in porposing. Turning off mechjeb spaceplace guidance stops chining,Chine and skipping,543.9,6.639,876.807,231.142,803.888,81.946,32.6,0.88,60,44.52399333,"20,149.02",,,,,,,,
3.31,Moved center legs to in front of COM,Skipping,546.6,6.672,879.672,239.453,803.617,81.919,32.6,0.88,60,44.50932333,"20,249.05",,,,,,,,
3.32,Moved center legs forward more,Skipping,549,6.71,887.703,227.712,803.181,81.874,32.7,0.89,60,44.62133,"20,171.12",,,,,,,,
3.33,Reverted to 3.31.Tiny fixed wings way at the bottom of center legs. Moved center legs higher,~skipping,540.3,6.589,891.55,251.425,804.336,81.992,32.8,0.87,62,43.3764129,"20,369.93",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
